P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
brachycentrum	alpestre-1_5	parryi	0.314195	7.27505	3.46301e-13	0.0313352	156.461	136.923	71.4523
brachycentrum	alpestre-1_5	patens	0.399486	9.12942	2.3e-16	0.0733924	710.714	101.21	43.4288
alpestre-1_5	ramosum-1_5	brachycentrum	0.0919859	2.12216	0.0338242	0.00969545	585.249	48.9173	40.676
alpestre-1_5	ramosum-3	brachycentrum	0.0390951	0.762071	0.446018	0.00626894	290.601	65.8006	60.8492
ramosum-4_10	alpestre-1_5	brachycentrum	0.0426532	0.928744	0.353022	0.00611467	264.99	62.2029	57.1137
alpestre-1_5	sapellonis	brachycentrum	0.071007	1.48808	0.13673	0.0116425	299.562	72.8101	63.1556
brachycentrum	alpestre-1_5	scaposum	0.382447	9.19459	2.3e-16	0.0762532	177.525	140.128	62.5966
scopulorum	alpestre-1_5	brachycentrum	0.113585	2.38864	0.0169108	0.0185881	235.558	70.1428	55.8338
brachycentrum	alpestre-1_5	stachydeum	0.368177	8.37697	2.3e-16	0.0535186	148.005	144.847	66.8902
brachycentrum	alpestre-1_5	trolliifolium	0.416996	10.3455	2.3e-16	0.0702825	336.146	136.075	55.9861
brachycentrum	alpestre-1_5	viridescens	0.330233	7.60869	2.7689e-14	0.0461433	128.95	140.297	70.6389
brachycentrum	alpestre-1_5	xantholeucum	0.450189	11.2018	2.3e-16	0.0777762	185.094	143.367	54.3549
californicum	cardinale	alpestre-1_5	0.0629292	1.18914	0.234385	0.0201825	169.827	89.9381	79.2888
carolinianum	alpestre-1_5	californicum	0.0558793	0.984154	0.32504	0.00493692	144.318	72.0399	64.4149
californicum	alpestre-1_5	distichum-1_5	0.339173	7.51042	5.89386e-14	0.0684475	120.731	144.444	71.2769
californicum	alpestre-1_5	distichum-2_6	0.135123	3.03098	0.00243765	0.033084	170.997	129.802	98.8993
exaltatum	alpestre-1_5	californicum	0.0508883	0.787199	0.431165	0.0032126	141.986	52.9896	47.8576
geraniifolium	alpestre-1_5	californicum	0.0867749	1.52482	0.127305	0.00496306	211.114	55.7821	46.8741
geyeri	alpestre-1_5	californicum	0.216615	4.21235	2.52722e-05	0.014505	191.576	76.6367	49.3468
glaucescens	alpestre-1_5	californicum	0.136041	2.61118	0.00902293	0.0102685	176.282	80.0425	60.8724
glaucum-1_2	alpestre-1_5	californicum	0.0436654	0.752321	0.451858	0.00308681	147.484	63.5503	58.2326
glaucum-3_4	alpestre-1_5	californicum	0.0723501	1.36516	0.172203	0.00471687	165.979	66.2344	57.2969
gypsophilum	californicum	alpestre-1_5	0.231509	5.62415	1.86424e-08	0.0915073	188.743	159.889	99.7746
hesperium	californicum	alpestre-1_5	0.0199048	0.401646	0.687944	0.00596097	370.455	87.0885	83.6892
californicum	alpestre-1_5	lineapetalum	0.22774	4.68376	2.81655e-06	0.0370626	144.12	120.22	75.6198
californicum	alpestre-1_5	multiplex	0.290644	6.78578	1.1546e-11	0.0692963	129.29	146.293	80.405
novomexicanum	alpestre-1_5	californicum	0.0395165	0.696026	0.486413	0.00207589	238.465	50.2826	46.4596
alpestre-1_5	californicum	nudicaule	0.122036	2.46281	0.0137854	0.0252235	340.078	101.297	79.2622
californicum	alpestre-1_5	nuttallianum-14	0.273932	5.46125	4.72783e-08	0.0506534	133.144	112.63	64.1927
californicum	alpestre-1_5	nuttallianum-7_9	0.250948	5.34165	9.21047e-08	0.0669636	159.81	118.651	71.0464
occidentale	alpestre-1_5	californicum	0.0663233	1.25345	0.210044	0.00477564	175.743	69.6419	60.9787
californicum	parryi	alpestre-1_5	0.00142331	0.0290933	0.97679	0.000471704	187.969	89.1701	88.9167
alpestre-1_5	californicum	patens	0.107055	2.0144	0.0439674	0.0202271	539.576	67.4679	54.4193
ramosum-1_5	alpestre-1_5	californicum	0.0228463	0.448631	0.653698	0.000800774	486.256	34.0056	32.4865
alpestre-1_5	ramosum-3	californicum	0.0260636	0.413224	0.679442	0.00135044	248.907	47.5009	45.0877
ramosum-4_10	alpestre-1_5	californicum	0.0946246	1.76915	0.0768692	0.00485132	240.846	52.7151	43.6012
alpestre-1_5	sapellonis	californicum	0.0292155	0.52242	0.601378	0.00161878	263	53.5766	50.5349
californicum	alpestre-1_5	scaposum	0.222226	4.68963	2.73702e-06	0.0520542	132.072	122.02	77.6484
scopulorum	alpestre-1_5	californicum	0.0985791	1.78826	0.0737346	0.00565662	206.147	55.1016	45.2127
californicum	alpestre-1_5	stachydeum	0.224224	4.28422	1.83384e-05	0.0363447	111.033	125.661	79.6302
californicum	alpestre-1_5	trolliifolium	0.168484	3.48331	0.000495251	0.0324418	252.118	106.618	75.8715
californicum	alpestre-1_5	viridescens	0.389938	7.73352	1.04617e-14	0.0580538	101.068	138.707	60.8802
californicum	alpestre-1_5	xantholeucum	0.30937	6.5616	5.32343e-11	0.0581236	137.139	119.697	63.1343
carolinianum	alpestre-1_5	cardinale	0.132172	2.44277	0.014575	0.0136638	127.314	85.1684	65.283
cardinale	alpestre-1_5	distichum-1_5	0.291528	6.3452	2.22137e-10	0.0560851	124.596	126.465	69.3731
cardinale	alpestre-1_5	distichum-2_6	0.240251	5.24986	1.52216e-07	0.0538518	186.923	123.9	75.8984
exaltatum	alpestre-1_5	cardinale	0.103285	1.62451	0.104267	0.00750665	124.014	60.5868	49.2431
